"name","run.no.in.std.order","run.no","run.no.std.rp","input","batch","sim_time","insert_time","max_mem","platform"
"138","7",138,"7.10","small","D","","","",""
"139","4",139,"4.10","small","C","","","",""
"140","5",140,"5.10","medium","C","","","",""
"141","2",141,"2.10","medium","B","","","",""
"142","9",142,"9.10","big","D","","","",""
"143","1",143,"1.10","small","B","","","",""
"144","13",144,"13.10","small","F","","","",""
"145","10",145,"10.10","small","E","","","",""
"146","3",146,"3.10","big","B","","","",""
"147","8",147,"8.10","medium","D","","","",""
"148","15",148,"15.10","big","F","","","",""
"149","14",149,"14.10","medium","F","","","",""
"150","11",150,"11.10","medium","E","","","",""
